row,Harvard local authority record number,Wikidata item,Label from 110,Label from 410,Historical note,Possible inception date,Possible end date
40,001253406-4,,Harvard-Radcliffe Association for Rational Individualism,"Harvard University Individualism, Harvard-Radcliffe Association for Rational","The Harvard-Radcliffe John Galt Circle was founded in 1964. In 1965, the name changed to the Ayn Rand Society. Later, probably in 1969, the name changed again to the Harvard-Radcliffe Association for Rational Individualsm. SOURCE: Harvard University Archives",1964,1969
41,001253407-2,,Harvard-Radcliffe John Galt Circle,Harvard University John Galt Circle,"The Harvard-Radcliffe John Galt Circle was founded in 1964. In 1965, the name changed to the Ayn Rand Society.",1964,1965
42,001253687-3,,Harvard Wireless Club,Harvard University Wireless Club$5wid,,,
43,001259345-1,,Harvard-Radcliffe Gay and Lesbian Students' Association,Harvard Gay and Lesbian Students' Association,The Harvard-Radcliffe Gay Students' Association was established in 1971. The organization changed its name to the Harvard-Radcliffe Gay and Lesbian Students' Association. SOURCE: Records of the ... Association in the Harvard University Archives,1971,
44,001259346-X,,Harvard-Radcliffe Gay Students' Association,Harvard Gay Students' Association,The Harvard-Radcliffe Gay Students' Association was established in 1971. The organization changed its name to the Harvard-Radcliffe Gay and Lesbian Students' Association. SOURCE: Records of the ... Association in the Harvard University Archives,1971,
45,001263886-2,,Harvard Woman's Club of Boston,Harvard University Women's Club of Boston,"Founded in 1913, the Harvard Woman's Club of Boston was an outgrowth of the Society of Harvard Dames. The Dames' members were the wives of Harvard students; Woman's Club members were ""alumnae"" of the Dames, women whose husbands had been Harvard students. The purpose of the club was to foster loyalty to Harvard University through educational, social, and charitable events. SOURCE: Records of the Harvard Woman's Club of Boston in the Harvard University Archives",1913,
46,001270008-8,,Harvard University Pi Eta Society,Harvard Pi Eta Society,,,
47,001301337-8,,Harvard Student Wives Association,"Harvard University Wives Association, Student","The Society of Harvard Dames is an organization composed of the wives of Harvard University students. It was founded in 1896. ""Alumnae"" of the Society of Harvard Dames comprised the membership of the Harvard Woman's Club of Boston. It became or became confused with the Harvard Student Wives Association. SOURCE: Harvard University News Office. Press release no. 1955-117, dated 29 April 1955 and Records of the Harvard Woman's Club of Boston located in the Harvard University Archives and the Harvard University Archives shelflist",1896,1955
48,001330563-8,,Harvard Philosophy Club,Harvard University Philosophy Club,,,
49,001331686-9,,Harvard Environmental Law Society,Environmental Law Society (Harvard Law School),,,
50,001344368-2,,Harvard Library Club,Harvard University Library Club,"The Library Club began in 1933. It was started by Miss Jesse Whitehead, a library staff member. The purpose of the club was to improve communication within the library. The club held dinner meetings once a month and invited speakers twice a year. During the 1940's, the club published a quarterly newsletter, first called Staff news, and later, Library scene. The club's activites appear to cease in 1985. SOURCE: Harvard University Library Notes, 13 September 1973.",1933,1973
51,001351653-1,,Harvard Glee Club Foundation ,Harvard University Glee Club Foundation,,,
52,001413538-8,,Harvard University Krokodiloes Alumni Association,Kroks Alumni Association,,,
53,001425718-1,,Harvard Memorial Society,Harvard University Memorial Society,"The Harvard Memorial Society's activities served to commemmorate Harvard's war dead from both the Civil War, 1861-1865, and the First World War, 1914-1918.",1861,1918
54,001426646-6,,Delta Upsilon Fraternity Harvard Chapter,Delta Upsilon (Harvard Chapter),,,
55,001432400-8,Q59297504,Harvard-Radcliffe Anthropology Club,,,,
56,001527583-3,Q59297505,Harvard Medical School Oliver Wendell Holmes Society ,,,,
57,001578233-6,Q59297506,Harvard South Asian Association,SAA (Harvard University),"Founded in 1986. ""...[this] organization has aimed to serve Harvard College by facilitating academic, political, social, and cultural discussion and interaction among students, faculty, and members of the community."" (SOURCE: Web site, visited 2005 October 31 http://www.harvardsaa.org/about.php)",1986,2005
58,001627939-5,,Harvard Student Union,Harvard University Harvard Student Union,The Harvard Student Union was a progressive student group active in pacifism shortly before the United States' entry into the Second World War. SOURCE: Harvard University Archives (HUD 3809),3809,
59,001686577-4,,Harvard University Allston Development Group,Harvard Allston Initiative$7Harvard University  Allston Development Group,"In January 2003, Harvard Planning + Allston Initiative (HPAI) was established during the reorganization of Harvard Planning and Real Estate (which was divided into HPAI (formerly Physical Planning and Public Approvals) with PIRC becoming part of Harvard Real Estate Services). In October 2005, HPAI was reconfigured and the Allston Development Group was established to manage all aspects of the Allston Initiative. SOURCE: Harvard University Archives",2003,2005
60,001740700-1,,Harvard Delphic Club ,The Gas,,,
61,001776799-7,,Harvard University Task Group on Discovery and Metadata,Harvard University Library Council Task Group on Discovery and Metadata,,,
62,001793069-3,,Harvard African Students Association,HASA (Harvard University),"The Harvard African Students Association (HASA), founded in 1977, is an organization committed to encouraging cultural, intellectual, political, and economic awareness about the African continent.",1977,
63,001806245-8,,Harvard Amateur Radio Club,Harvard University Amateur Radio Club,"The Harvard Amateur Radio Club was founded in October 1934 (SOURCE: General information by and about the Harvard Amateur Radio Club, Harvard University Archives)",1934,
64,001806554-6,,Harvard Union for American Neutrality,,"The Harvard Union for American Neutrality was an association of undergraduate student pacifists at Harvard. Created in February 1917, the Union dissolved in April 1917, upon the entry of the United States into the war (SOURCE: General information by and about the Harvard Union for American Neutrality, Harvard University Archives)",1917,1917
65,001806914-2,,Americans for Reappraisal of Far Eastern Policy Harvard Chapter,Harvard ARFEP,"Americans for Reappraisal of Far Eastern Policy (ARFEP) was organized by William Sloan Coffin, Jr., chaplain at Yale University, in the summer of 1965. An undergraduate organization sponsoring discussion of United States-China relations, ARFEP had chapters on campuses across the country. The Harvard chapter was founded in October 1965, and included both undergraduate and graduate members",1965,1965
66,001806927-4,,Harvard Club of Akron,Harvard University Club of Akron,"An organization of Harvard alumni in the Akron area, the Harvard Club of Akron was organized in 1910. It was admitted to the Associated Harvard Clubs on August 10, 1915. It was reorganized in April, 1926. The club merged with the Harvard Club of Cleveland in the mid-1990s (SOURCE: Harvard University Archives)",1910,1990
67,001806929-0,,Harvard Club of Ames,Harvard University Club of Ames,"An organization of Harvard alumni near Ames, Iowa, the Harvard Club of Ames was organized on February 11, 1922. In April of that year, the Club applied for membership in the Associated Harvard Clubs (SOURCE: Harvard University Archives)",1922,
68,001806930-4,,Harvard Club of Albany,Harvard University Club of Albany,"An organization of Harvard alumni near Albany, New York, the Harvard Club of Albany was organized in 1879 (SOURCE: Harvard University Archives)",1879,
69,001806955-X,,Harvard Law School Ames-Gray Law Club,Harvard University Ames-Gray Law Club,"The Ames-Gray Law Club of Harvard Law School was formed in 1883 when the Ames Pleading Club and the Gray Law Club combined (SOURCE: General information by and about the Ames-Gray Law Club, Harvard University Archives)",1883,
70,001806979-7,,Harvard Society of Amateur Photographers,Harvard Amateur Photographic Society,"The Society of Amateur Photographs was formed at Harvard in 1884. Open to all members of the University, the society was defunct by 1889 (SOURCE: General information by and abou the Harvard Society of Amateur Photographers, Harvard University Archives)",1884,1889
71,001807005-1,,Harvard Club of Andover ,Andover Harvard Club,"An organization of Harvard alumni near Andover, Massachusetts, the Harvard Club of Andover was organized on March 3, 1903. In 1921, the Club was admitted to the New England Division of the Associated Harvard Clubs. The Club was revived in the 1950, and was still active as of 2008 (SOURCE: General information by and about the Harvard Club of Andover, Harvard University Archives)",1903,2008
72,001807044-2,,Harvard Club of Annapolis,,"An organization of Harvard alumni near Annapolis, Maryland, the Harvard Club of Annapolis was organized on January 22, 1914. Later that year the Club was admitted to the South Central Division of the Associated Harvard Clubs (SOURCE: General information by and about the Harvard Club of Annapolis, Harvard University Archives)",1914,
73,001807157-0,,Harvard Anthropological Club,Harvard University Anthropological Club,"The Harvard Anthropological Society was founded in 1898 to promote interest in anthropology. The society was composed of undergraduates and graduates of the University who had taken courses offered by the Department of Anthropology, as well as honorary members including Professors F. W. Putnam and Franz Boas. The society met monthly during the college year to discuss presented papers, and sponsored several public lectures a year. Circa 1909, the society became known as the Harvard Anthropological Club. It is unclear when the society died out (SOURCE: General information by and about the Harvard Anthropological Society, Harvard University Archives)",1898,1909
74,001807158-9,,Harvard Anthropological Society,Harvard University Anthropological Society,"The Harvard Anthropological Society was founded in 1898 to promote interest in anthropology. The society was composed of undergraduates and graduates of the University who had taken courses offered by the Department of Anthropology, as well as honorary members including Professors F. W. Putnam and Franz Boas. The society met monthly during the college year to discuss presented papers, and sponsored several public lectures a year. Circa 1909, the society became known as the Harvard Anthropological Club. It is unclear when the society died out (SOURCE: General information by and about the Harvard Anthropological Society, Harvard University Archives)",1898,1909
75,001807170-8,Q61790681,Harvard Anti-Wine Society,Harvard University Anti-Wine Society,"The Harvard Anti-Wine Society was originally organized as the University Temperance Society in 1836 out of a joint meeting of the Cambridge and the University Temperance Societies. The new Society was open to all members of the University who signed a pledge to abstain from the use of ardent spirits and wine. In 1837, the organization changed its name to the Harvard Anti-Wine Society to reflect more clearly the goals of the society. In October 1841, the Society was replaced by the Harvard Total Abstinence Society (SOURCE: Records of the Harvard Anti-Wine Society, Harvard University Archives)",1836,1841
76,001807171-6,Q61790681,Harvard Total Abstinence Society,Harvard University Total Abstinence Society,"The Harvard Total Abstinence Society was organized in October 1841, seemingly as a replacement for the then defunct Harvard Anti-Wine Society, with which it clearly shared some membership. The Harvard Total Abstinence Society was open to all members of the University who signed a pledge to abstain from all intoxicating beverages while associated with the University, including both terms and vacations. The Society seems to have disbanded circa 1843 (SOURCE: Records of the Harvard Total Abstinence Society, Harvard University Archives)",1841,1843
77,001807234-8,,Harvard Club of Arizona,Harvard University Club of Arizona,"A group of Harvard alumni in Arizona, the Harvard Club of Arizona was organized on November 25, 1905 (SOURCE: Records of the Harvard Club of Arizona, Harvard University Archives)",1905,
78,001807240-2,,Harvard Club of Arkansas,Harvard University Club of Arkansas,"An organization of Harvard alumni in Arkansas, the Harvard Club of Arkansas was organized on March 25, 1912. On June 5, 1914, it was admitted to the Southwest Central Division of the Associated Harvard Clubs. The Club was still active as of 2008 (SOURCE: General information by and about the Harvard Club of Arkansas, Harvard University Archives)",1912,2008
79,001807337-9,,Harvard 1911 Art Club,1911 Art Club (Harvard University),"The Harvard 1911 Art Club was founded in 1951 by a group of alumni from the Class of 1911 who shared an interest in art. Intended to promote practice and appreciation of art, the Club was open to any interested member of the class and held annual exhibitions of members’ work. The Club died out around 1956",1911,1956
80,001807338-7,,American Veterans Committee Harvard Chapter,Harvard Chapter of the American Veterans Committee,"Originally part of the Cambridge Chapter, a separate Harvard Chapter of the American Veterans Committee was established in 1946 (SOURCE: Records of the Harvard Chapter of the American Veterans Committee, Harvard University Archives)",1946,
81,001807869-9,,Harvard Art Association,Harvard University Art Association,"The Harvard Art Association, organized in November 1946, was open to undergraduate and graduate students interested in the subject of Fine Arts. With a studio in Sever Hall, the Association offered weekly classes and public lectures, and sponsored several exhibits of members' work (SOURCE: General information by and about the Harvard Art Association, Harvard University Archives)",1946,
82,001808913-5,,Harvard Club of Atlanta,Harvard University Club of Atlanta,"The Harvard Club of Atlanta was organized in 1895, and admitted to the Southern Division of the Associated Harvard Clubs in 1905. The Club was inactive from 1925-1937 (SOURCE: General information by and about the Harvard Club of Atlanta, Harvard University Archives)",1895,1937
83,001808966-6,Q59297507,Harvard Club of Australia,Harvard University Club of Australia,The Harvard Club of Australia was formed by correspondence in 1916 through an initiative headed by Ernest N. Merrington (PhD 1905). The Club disbanded at an unknown date (SOURCE: Harvard University Archives),1916,1905
84,001808967-4,,Harvard Club of Australia Group,,"In 1961, the Harvard Club of Australia was created by graduates of the Harvard Business School to promote fellowship amongst alumni and to assist Australians wishing to study at Harvard. Expanding to include more than one club, the association became known as the Harvard Club of Australia Group. As of 2008, the Group consisted of the Harvard Club of Australia and the Harvard Club of Australia-Victoria, and included active Chapters in South Australia, Queensland, Australian Capital Territory and Western Australia (SOURCE: Harvard University Archives)",1961,2008
85,001809321-3,,Harvard Club of Bangor,Bangor Harvard Club,"The Harvard Club of Bangor was organized on June 10, 1891. It was admitted to the New England Division of the Associated Harvard Clubs on June 10, 1921 (SOURCE: General information by and about the Harvard Club of Bangor, Harvard University Archives)",1891,1921
86,001809352-3,,Harvard Banjo Club,Harvard University Banjo Club,The Harvard Banjo Club was founded in 1886 as an undergraduate student organization (SOURCE: Harvard University Archives),1886,
87,001809358-2,,Harvard Barn Dance Association,Harvard University Barn Dance Association,"The Harvard Barn Dance Association was an undergraduate student organization founded in 1941. They sponsored several barn dances in Memorial Hall during the 1941-1942 academic year (SOURCE: Records of the Harvard Barn Dance Association, Harvard University Archives)",1941,1942
88,001809384-1,,Harvard Club of Belgium,Harvard University Club of Belgium,"The Harvard Club of Belgium is an association of persons living in Belgium who have obtained a degree from or taught at any department of Harvard University or Radcliffe College, or who have received an honorary degree from Harvard (SOURCE: Harvard University Archives)",,
89,001809388-4,,Harvard Club of Belmont,Harvard University Club of Belmont,"The Harvard Club of Belmont was organized in the spring of 1934, and was admitted to the New England Division of the Associated Harvard Clubs on February 21, 1941. An organization of Harvard alumni living in Belmont, Massachusetts, the club funded a scholarship for a student from Belmont to attend Harvard College (SOURCE: General information by and about the Harvard Club of Belmont, Harvard University Archives)",1934,1941
90,001809394-9,,Harvard Club of Berkshire County,Harvard University Club of Berkshire County,"The Harvard Club of Berkshire County was organized on October 26, 1907, and was admitted to the New England Division of the Associated Harvard Clubs on February 12, 1941. Membership was open to any Harvard alumni living in the Berkshire County of Massachusetts (SOURCE: Harvard University Archives)",1907,1941
91,001809540-2,,Harvard Bicycle Club (1972),,The Harvard Bicycle Club (1972) was open to all members of the Harvard community (SOURCE: Harvard University Archives),1972,
92,001809551-8,,Harvard Bicycle Club (1879-1891),,"The Harvard Bicycle Club was founded in 1879, and was open to any member of the Harvard community. The Club held races and runs open to the Harvard community, and organized annual dinners for members. In 1883 the Club began holding social events such as smokers during the winter months. In March 1890, the club voted to form a separate racing organization, called the Harvard University Cycling Association. The Association took over control of racing, while the Bicycle Club remained a social organization with weekly bicycle runs. The Club apparently dissolved in 1891 (SOURCE: Records of the Harvard Bicycle Club, Harvard University Archives)",1879,1891
93,001809558-5,,Harvard University Cycling Association,,"In March 1890, the Harvard Bicycle Club voted to form a separate racing organization, called the Harvard University Cycling Association. The Association took over control of racing, while the Bicycle Club remained a social organization with weekly bicycle runs. The Association was open to any member of the Harvard community. The Association disbanded at a later date, and was re-organized in 1981; associated with the Athletic Department at first, the Association was officially established as club sport in the spring of 1985. Still in existence as of 2008, the Association is both a club sport and a racing team (SOURCE: Harvard University Archives)",1890,2008
94,001809682-4,,Harvard Binnacle Club,Harvard University Binnacle Club$7Harvard Binnacle Club,"The Harvard Binnacle Club was founded in December 1905 for sailing enthusiasts at Harvard. It was organized as a social organization, not as a yacht club, and arranged for yacht owners and designers to give talks before the club. In 1907, the club changed its name to the Binnacle Club of Harvard University. Sometime around 1911, the Club disbanded, arranging a banquet to use up the surplus money in the treasury (SOURCE: Records of the Binnacle Club of Harvard University, Harvard University Archives)",1905,1911
95,001809695-6,,Harvard Biological Anthropology Club,Harvard University Biological Anthropology Club,,,
96,001809714-6,,Harvard Club of Birmingham,Harvard University Club of Birmingham,"An organization of individuals affiliated with Harvard and living in the Birmingham area of Alabama, the Harvard Club of Birmingham was organized in 1922 and admitted to the Southern Division of the Associated Harvard Clubs that same year. As of 2008, the Club was still active (SOURCE: Harvard University Archives)",1922,2008
97,001809911-4,,Harvard Botany Club,Harvard University Botany Club,,,
98,001810157-7,,Harvard Club of Brazil,,"An organization of Harvard alumni in Brazil, the Harvard Club of Brazil was organized on August 5, 1922, and admitted to the Central and South American Division of the Associated Harvard Clubs in 1923.",1922,1923
99,001810840-7,,Harvard-Radcliffe Fusilli Club,,"The Fusilli Club was founded in the spring of 1990 as an all-inclusive, fun-seeking social organization open to anyone, including undergraduate and graduate students, alumni, faculty and staff, and members of other universities (SOURCE: Records of the Harvard-Radcliffe Fusilli Club, Harvard University Archives)",1990,
100,001810945-4,,Harvard Browder-Ford Club,Harvard University Browder-Ford Club,"The Harvard Browder-Ford Club was founded by students in 1940 to protest the exclusion of Communist candidates, including Earl Browder, from the ballet in 13 states (SOURCE: General information by and about the Harvard Browder-Ford Club, Harvard University Archives)",1940,
101,001810992-6,Q59297508,Harvard-Radcliffe Buddhist Studies Association,,"The Harvard-Radcliffe Buddhist Studies Association was founded in March 1979, and was intended to serve as a forum for any members of the Harvard community interested in any aspect of Buddhism. The Association organized lectures, movies, meditation workshops, and other activities (SOURCE: Harvard University Archives)",1979,
102,001811010-X,,Harvard Club of Buffalo,Harvard University Club of Buffalo,"An alumni organization, the Harvard Club of Buffalo was organized in December 1880, and admitted to the Eastern Division of the Associated Harvard Clubs in 1907 (SOURCE: Harvard University Archives)",1880,1907
103,001811024-X,,Harvard Business School Club of Cleveland,,"An organization of alumni of the Harvard Business School living in and around Cleveland, Ohio (SOURCE: Harvard University Archives)",,
104,001811085-1,,Harvard Law School Bull and Bear Club,,"The Bull and Bear Club, founded at the Harvard Law School in 1953, was devoted to practical study of business and finance (SOURCE: Harvard University Archives)",1953,
105,001811308-7,,Harvard-Radcliffe Student Association,,"In the spring of 1978, the Harvard-Radcliffe Constitutional Convention proposed a constitution establishing a new form of student government by creating the Harvard-Radcliffe Student Association with membership including every undergraduate. The constitution was ratified by a majority of students, and the representative body of the Association, the Harvard-Radcliffe Student Assembly, was created in the fall of 1978. Members of the Association elected representatives to the Assembly from the houses and yard districts. In 1982, the Assembly was replaced by the newly created Harvard-Radcliffe Undergraduate Council (SOURCE: Harvard University Archives)",1978,1982
106,001813675-3,,Harvard Cambridge Latin School Club ,Harvard University Cambridge Latin School Club,The Harvard Cambridge Latin School Club was existence circa 1895-1916. The Club presumably consisted of Harvard students who were also alumni of Cambridge Latin School (SOURCE: Harvard University Archives),1895,1916
107,001813774-1,,Harvard Canoe Club,Harvard University Canoe Club,"The Harvard Canoe Club was a student organization in existence circa 1884-1893. Functioning as both a social and athletic organization, the Club held ""smokers"" and annual race meetings (SOURCE: Harvard University Archives)",1884,1893
108,001813779-2,,Harvard Club of Cape Cod,Cape Cod Harvard Club,"The Harvard Club of Cape Cod was organized in the fall of 1951. An organization of Harvard alumni living in Cape Cod, Massachusetts, the club funded a scholarship for a student from the Cape to attend Harvard College (SOURCE: Harvard University Archives)",1951,
109,001813830-6,,Harvard Club of Central Florida,Harvard University Club of Central Florida,"An organization of alumni living in Central Florida, the Harvard Club of Central Florida was organized on March 25, 1941, and admitted to the Southern Division of the Associated Harvard Clubs on November 21, 1941. Geographically based in Orlando, the club was incorporated as a Florida non-profit corporation in 1976. As of 2008, the Club was still in existence, providing alumni with a means for maintaining connections with the University and each other (SOURCE: Harvard University Archives)",1941,2008
110,001813834-9,,Harvard Club of Central Ohio,Harvard University Club of Central Ohio,"An organization of alumni living in Central Ohio (including the Southeast), the Harvard Club of Central Ohio was organized in 1899, and admitted to the Central Division of the Associated Harvard Clubs in 1902. The Club later changed its name to the Harvard Club of Central and Southeastern Ohio in order to more accurately reflect its geographic reach; as of 2008, the club was still in existence (SOURCE: Harvard University Archives)",1899,2008
111,001813835-7,,Harvard Club of Central and Southeastern Ohio,,"An organization of alumni living in Central Ohio (including the Southeast), the Harvard Club of Central Ohio was organized in 1899, and admitted to the Central Division of the Associated Harvard Clubs in 1902. The Club later changed its name to the Harvard Club of Central and Southeastern Ohio in order to more accurately reflect its geographic reach; as of 2008, the club was still in existence (SOURCE: Harvard University Archives)",1899,2008
112,001813850-0,,Harvard-Radcliffe Club of Central New York,Harvard University Club of Central New York$7Harvard-Radcliffe Club of Central New York,"An organization of alumni living in central New York, the Harvard-Radcliffe Club of Central New York, previously called the Harvard Club of Central New York, was still in existence as of 2008 (SOURCE: Harvard University Archives)",2008,
113,001813853-5,,Harvard Club of Central New York,Harvard University Club of Central New York$7Harvard Club of Central New York,"An organization of alumni living in central New York, the Harvard-Radcliffe Club of Central New York, previously called the Harvard Club of Central New York, was still in existence as of 2008 (SOURCE: Harvard University Archives)",2008,
